transaction_date,account,description,debit,credit,category,transaction_type,customer_vendor,payment_method,reference
22-Dec-23,Inventory,Transaction 2094,643.84,643.84,Revenue,Purchase,Customer 85,Check,56178
06-Apr-23,Inventory,Transaction 2095,970.93,970.93,Liability,Expense,Customer 35,Bank Transfer,98956
01-Apr-23,Accounts Receivable,Transaction 2096,508.72,508.72,Asset,Purchase,Customer 46,Bank Transfer,67159
09-Nov-23,Inventory,Transaction 2097,509.48,509.48,Liability,Transfer,Customer 27,Check,59551
01-Mar-23,Accounts Payable,Transaction 2098,916.28,916.28,Asset,Expense,Customer 96,Bank Transfer,24447
03-Jul-23,Inventory,Transaction 2099,300.69,300.69,Liability,Transfer,Customer 33,Check,24264
23-Aug-23,Inventory,Transaction 2100,322.69,322.69,Asset,Sale,Customer 7,Credit Card,43780
02-Sep-23,Cash,Transaction 2101,745.93,745.93,Expense,Purchase,Customer 40,Bank Transfer,84047
10-Dec-23,Inventory,Transaction 2102,993.76,993.76,Revenue,Transfer,Customer 13,Credit Card,32302
01-Nov-23,Accounts Receivable,Transaction 2103,348.24,348.24,Liability,Sale,Customer 49,Check,66701
14-Apr-23,Cash,Transaction 2104,646.66,646.66,Asset,Expense,Customer 66,Credit Card,99580
10-Mar-23,Cash,Transaction 2105,472.56,472.56,Expense,Transfer,Customer 78,Bank Transfer,90704
18-Feb-23,Cash,Transaction 2106,396.11,396.11,Expense,Sale,Customer 93,Bank Transfer,53196
24-Jul-23,Accounts Receivable,Transaction 2107,703.56,703.56,Revenue,Purchase,Customer 11,Credit Card,83664
10-Dec-23,Accounts Receivable,Transaction 2108,795.43,795.43,Revenue,Transfer,Customer 69,Credit Card,83130
25-Feb-23,Accounts Payable,Transaction 2109,693.14,693.14,Revenue,Expense,Customer 53,Cash,96069
10-Mar-23,Accounts Receivable,Transaction 2110,735.6,735.6,Liability,Purchase,Customer 68,Bank Transfer,86855
12-Jan-23,Cash,Transaction 2111,510.58,510.58,Revenue,Purchase,Customer 76,Credit Card,89206
10-Aug-23,Accounts Payable,Transaction 2112,565.18,565.18,Revenue,Transfer,Customer 5,Bank Transfer,68338
12-Jun-23,Accounts Payable,Transaction 2113,898.48,898.48,Revenue,Expense,Customer 12,Credit Card,86478
07-Nov-23,Inventory,Transaction 2114,715.17,715.17,Revenue,Transfer,Customer 45,Check,51809
08-Dec-23,Accounts Payable,Transaction 2115,711.81,711.81,Revenue,Transfer,Customer 55,Check,26233
15-Apr-23,Cash,Transaction 2116,924.23,924.23,Expense,Transfer,Customer 70,Cash,40209
28-Jun-23,Accounts Receivable,Transaction 2117,473.06,473.06,Revenue,Sale,Customer 15,Check,64245
07-Mar-23,Accounts Payable,Transaction 2118,771.32,771.32,Revenue,Transfer,Customer 78,Credit Card,16043
07-Feb-23,Accounts Payable,Transaction 2119,584.86,584.86,Revenue,Transfer,Customer 18,Cash,81459
16-Apr-23,Cash,Transaction 2120,724.21,724.21,Revenue,Transfer,Customer 23,Credit Card,33175
15-Nov-23,Accounts Payable,Transaction 2121,881.24,881.24,Liability,Expense,Customer 70,Bank Transfer,98782
04-Jul-23,Inventory,Transaction 2122,485.83,485.83,Expense,Expense,Customer 35,Check,94736
08-Nov-23,Inventory,Transaction 2123,878.71,878.71,Expense,Transfer,Customer 28,Bank Transfer,59268
03-Aug-23,Accounts Payable,Transaction 2124,565.52,565.52,Expense,Expense,Customer 90,Check,25798
08-Mar-23,Inventory,Transaction 2125,717.5,717.5,Expense,Expense,Customer 22,Check,58985
20-May-23,Inventory,Transaction 2126,806.74,806.74,Asset,Expense,Customer 56,Cash,56497
28-Dec-23,Accounts Receivable,Transaction 2127,822.36,822.36,Asset,Purchase,Customer 80,Cash,44881
24-Sep-23,Accounts Payable,Transaction 2128,941.69,941.69,Expense,Expense,Customer 5,Check,68408
27-Mar-23,Accounts Receivable,Transaction 2129,359.5,359.5,Liability,Purchase,Customer 75,Cash,27042
09-Oct-23,Accounts Receivable,Transaction 2130,625.54,625.54,Revenue,Expense,Customer 43,Bank Transfer,96202
03-Feb-23,Cash,Transaction 2131,124.64,124.64,Expense,Purchase,Customer 58,Check,65000
04-Mar-23,Accounts Receivable,Transaction 2132,769.44,769.44,Revenue,Purchase,Customer 34,Credit Card,95513
23-Mar-23,Cash,Transaction 2133,919.49,919.49,Liability,Transfer,Customer 51,Check,70624
20-Feb-23,Accounts Payable,Transaction 2134,734.51,734.51,Asset,Expense,Customer 19,Bank Transfer,27558
28-Feb-23,Cash,Transaction 2135,297.97,297.97,Liability,Purchase,Customer 30,Bank Transfer,40126
17-Jan-23,Accounts Receivable,Transaction 2136,400.25,400.25,Expense,Expense,Customer 30,Check,88424
02-Mar-23,Cash,Transaction 2137,714.76,714.76,Asset,Expense,Customer 98,Bank Transfer,28847
13-Sep-23,Accounts Receivable,Transaction 2138,595.77,595.77,Revenue,Sale,Customer 69,Credit Card,94202
01-Apr-23,Cash,Transaction 2139,747.12,747.12,Expense,Expense,Customer 54,Check,27431
16-Apr-23,Cash,Transaction 2140,206.46,206.46,Expense,Sale,Customer 95,Check,19062
01-Aug-23,Cash,Transaction 2141,170.43,170.43,Liability,Purchase,Customer 91,Credit Card,89160
25-Aug-23,Accounts Payable,Transaction 2142,515.6,515.6,Asset,Transfer,Customer 47,Cash,78176
22-Mar-23,Accounts Payable,Transaction 2143,870.47,870.47,Asset,Transfer,Customer 16,Bank Transfer,21506
08-Apr-23,Accounts Receivable,Transaction 2144,794.53,794.53,Asset,Expense,Customer 86,Credit Card,36577
23-Apr-23,Cash,Transaction 2145,134.27,134.27,Liability,Sale,Customer 5,Credit Card,59277
09-Jun-23,Inventory,Transaction 2146,283.25,283.25,Liability,Sale,Customer 74,Credit Card,88072
03-Jul-23,Accounts Receivable,Transaction 2147,185.42,185.42,Liability,Sale,Customer 5,Bank Transfer,20032
02-Jul-23,Inventory,Transaction 2148,728.9,728.9,Revenue,Expense,Customer 86,Check,99314
03-Oct-23,Accounts Receivable,Transaction 2149,530.6,530.6,Expense,Transfer,Customer 4,Cash,64682
12-Dec-23,Accounts Payable,Transaction 2150,915.66,915.66,Expense,Purchase,Customer 2,Check,51880
01-Apr-23,Cash,Transaction 2151,319.58,319.58,Expense,Purchase,Customer 32,Cash,63483
01-Feb-23,Accounts Receivable,Transaction 2152,428.48,428.48,Asset,Transfer,Customer 86,Credit Card,19484
13-May-23,Accounts Receivable,Transaction 2153,947.91,947.91,Expense,Expense,Customer 62,Cash,60852
20-Nov-23,Accounts Payable,Transaction 2154,611.03,611.03,Revenue,Transfer,Customer 78,Bank Transfer,77677
21-Sep-23,Cash,Transaction 2155,283.66,283.66,Asset,Expense,Customer 42,Cash,84566
25-Dec-23,Cash,Transaction 2156,422.57,422.57,Liability,Purchase,Customer 89,Bank Transfer,49020
08-May-23,Cash,Transaction 2157,353.35,353.35,Asset,Transfer,Customer 26,Cash,41116
14-Jun-23,Inventory,Transaction 2158,595.58,595.58,Asset,Sale,Customer 4,Cash,39624
08-Jan-23,Accounts Payable,Transaction 2159,152.83,152.83,Liability,Sale,Customer 58,Check,77878
27-Apr-23,Accounts Receivable,Transaction 2160,844.58,844.58,Expense,Sale,Customer 19,Credit Card,56470
23-Apr-23,Cash,Transaction 2161,435.09,435.09,Asset,Expense,Customer 9,Check,42647
25-May-23,Accounts Receivable,Transaction 2162,355.65,355.65,Asset,Purchase,Customer 69,Check,70108
15-Dec-23,Accounts Receivable,Transaction 2163,461.8,461.8,Liability,Transfer,Customer 24,Credit Card,80901
27-Jan-23,Accounts Receivable,Transaction 2164,524.35,524.35,Liability,Purchase,Customer 11,Credit Card,74849
06-Oct-23,Inventory,Transaction 2165,287.3,287.3,Liability,Expense,Customer 80,Credit Card,37013
26-Jun-23,Inventory,Transaction 2166,847.63,847.63,Asset,Expense,Customer 7,Bank Transfer,75779
19-Jan-23,Accounts Payable,Transaction 2167,315.73,315.73,Liability,Sale,Customer 96,Bank Transfer,77058
16-Sep-23,Accounts Payable,Transaction 2168,285.49,285.49,Asset,Sale,Customer 10,Bank Transfer,36123
03-Apr-23,Inventory,Transaction 2169,636.66,636.66,Revenue,Transfer,Customer 90,Bank Transfer,76223
28-Feb-23,Accounts Receivable,Transaction 2170,753.65,753.65,Liability,Purchase,Customer 74,Bank Transfer,30422
02-Nov-23,Accounts Payable,Transaction 2171,869.39,869.39,Revenue,Transfer,Customer 61,Check,70448
05-Mar-23,Accounts Payable,Transaction 2172,388.46,388.46,Asset,Sale,Customer 60,Bank Transfer,80684
04-Oct-23,Inventory,Transaction 2173,706.57,706.57,Revenue,Transfer,Customer 54,Check,30145
25-Nov-23,Inventory,Transaction 2174,794.81,794.81,Revenue,Transfer,Customer 67,Bank Transfer,33718
17-Apr-23,Accounts Receivable,Transaction 2175,835.35,835.35,Revenue,Expense,Customer 78,Check,24960
09-Apr-23,Accounts Payable,Transaction 2176,217.68,217.68,Expense,Purchase,Customer 30,Check,20291
01-Apr-23,Inventory,Transaction 2177,515.43,515.43,Asset,Expense,Customer 95,Bank Transfer,40882
05-Feb-23,Cash,Transaction 2178,943.31,943.31,Revenue,Expense,Customer 41,Check,76975
15-Mar-23,Inventory,Transaction 2179,204.84,204.84,Revenue,Sale,Customer 48,Check,62054
18-Oct-23,Accounts Payable,Transaction 2180,877.45,877.45,Revenue,Transfer,Customer 1,Credit Card,21046
14-Nov-23,Cash,Transaction 2181,597.04,597.04,Asset,Purchase,Customer 27,Bank Transfer,19572
10-Jan-23,Cash,Transaction 2182,211.56,211.56,Revenue,Transfer,Customer 26,Bank Transfer,67267
09-Jul-23,Inventory,Transaction 2183,916.19,916.19,Liability,Purchase,Customer 38,Bank Transfer,26971
28-May-23,Cash,Transaction 2184,796.86,796.86,Liability,Sale,Customer 3,Check,39102
10-Sep-23,Cash,Transaction 2185,858.01,858.01,Expense,Expense,Customer 89,Credit Card,52773
04-Jun-23,Accounts Receivable,Transaction 2186,395.15,395.15,Expense,Transfer,Customer 14,Credit Card,53474
06-Jun-23,Accounts Receivable,Transaction 2187,907.57,907.57,Asset,Expense,Customer 91,Cash,42924
14-Dec-23,Inventory,Transaction 2188,372,372,Asset,Sale,Customer 69,Credit Card,80826
15-Mar-23,Accounts Payable,Transaction 2189,193.89,193.89,Expense,Sale,Customer 12,Cash,14215
16-Sep-23,Accounts Payable,Transaction 2190,996.66,996.66,Expense,Expense,Customer 93,Check,27377
23-Apr-23,Accounts Receivable,Transaction 2191,352.48,352.48,Expense,Transfer,Customer 14,Check,57142
11-Feb-23,Inventory,Transaction 2192,436.66,436.66,Asset,Sale,Customer 33,Cash,70239
23-May-23,Accounts Receivable,Transaction 2193,938.2,938.2,Revenue,Sale,Customer 79,Credit Card,15627
06-Nov-23,Accounts Receivable,Transaction 2194,134.09,134.09,Liability,Sale,Customer 43,Check,84886
27-Jun-23,Inventory,Transaction 2195,351.78,351.78,Expense,Sale,Customer 25,Credit Card,16666
02-Jan-23,Inventory,Transaction 2196,599.83,599.83,Liability,Transfer,Customer 95,Check,99361
03-Apr-23,Accounts Payable,Transaction 2197,525.34,525.34,Liability,Sale,Customer 47,Bank Transfer,70263
13-Jun-23,Accounts Receivable,Transaction 2198,642.8,642.8,Asset,Expense,Customer 71,Check,36513
17-May-23,Cash,Transaction 2199,870.91,870.91,Expense,Purchase,Customer 66,Bank Transfer,85131
03-Jan-23,Accounts Payable,Transaction 2200,191.01,191.01,Liability,Sale,Customer 47,Check,99391
07-Jun-23,Accounts Payable,Transaction 2201,573.07,573.07,Revenue,Purchase,Customer 63,Cash,67308
06-May-23,Cash,Transaction 2202,273.36,273.36,Asset,Transfer,Customer 48,Cash,19703
07-May-23,Cash,Transaction 2203,330.33,330.33,Expense,Expense,Customer 30,Bank Transfer,38715
11-Feb-23,Inventory,Transaction 2204,474.26,474.26,Revenue,Expense,Customer 97,Bank Transfer,83903
12-Nov-23,Accounts Payable,Transaction 2205,592.1,592.1,Asset,Transfer,Customer 75,Credit Card,32105
23-Sep-23,Inventory,Transaction 2206,203.24,203.24,Asset,Sale,Customer 90,Credit Card,71150
01-May-23,Cash,Transaction 2207,923.96,923.96,Liability,Transfer,Customer 22,Credit Card,39388
08-Sep-23,Inventory,Transaction 2208,660.12,660.12,Asset,Transfer,Customer 12,Credit Card,36415
28-Oct-23,Accounts Payable,Transaction 2209,887.63,887.63,Liability,Transfer,Customer 61,Bank Transfer,86197
23-Jun-23,Accounts Payable,Transaction 2210,920.15,920.15,Expense,Expense,Customer 89,Check,73431
17-Jun-23,Accounts Payable,Transaction 2211,406.06,406.06,Liability,Sale,Customer 46,Credit Card,62287
26-Apr-23,Accounts Receivable,Transaction 2212,450.64,450.64,Liability,Purchase,Customer 53,Bank Transfer,46485
17-May-23,Accounts Payable,Transaction 2213,401.5,401.5,Revenue,Transfer,Customer 100,Cash,95284
22-Mar-23,Cash,Transaction 2214,841.98,841.98,Expense,Purchase,Customer 12,Bank Transfer,27110
22-May-23,Accounts Payable,Transaction 2215,585.5,585.5,Asset,Purchase,Customer 46,Check,60792
07-Oct-23,Accounts Payable,Transaction 2216,877.25,877.25,Asset,Transfer,Customer 88,Credit Card,69707
19-Oct-23,Inventory,Transaction 2217,927.81,927.81,Expense,Sale,Customer 29,Bank Transfer,89754
15-Mar-23,Accounts Payable,Transaction 2218,199.4,199.4,Liability,Expense,Customer 29,Check,79617
10-Jan-23,Accounts Payable,Transaction 2219,673.52,673.52,Liability,Sale,Customer 25,Check,59336
09-Aug-23,Accounts Payable,Transaction 2220,823.28,823.28,Asset,Expense,Customer 2,Check,52468
16-Dec-23,Inventory,Transaction 2221,565.67,565.67,Expense,Sale,Customer 92,Cash,39400
19-Aug-23,Cash,Transaction 2222,774.78,774.78,Expense,Transfer,Customer 21,Cash,33811
12-Apr-23,Accounts Payable,Transaction 2223,989.37,989.37,Expense,Transfer,Customer 97,Cash,97680
15-Jan-23,Inventory,Transaction 2224,537.99,537.99,Asset,Purchase,Customer 75,Cash,42100
11-Jun-23,Accounts Receivable,Transaction 2225,704.3,704.3,Asset,Transfer,Customer 56,Cash,99299
09-Apr-23,Accounts Payable,Transaction 2226,651.75,651.75,Asset,Purchase,Customer 77,Bank Transfer,53853
16-Oct-23,Accounts Payable,Transaction 2227,280.45,280.45,Asset,Sale,Customer 19,Credit Card,72875
18-Feb-23,Accounts Receivable,Transaction 2228,516.27,516.27,Expense,Sale,Customer 51,Bank Transfer,62915
18-Mar-23,Inventory,Transaction 2229,661.06,661.06,Asset,Purchase,Customer 43,Bank Transfer,86618
01-Jan-23,Accounts Payable,Transaction 2230,813.28,813.28,Asset,Expense,Customer 37,Credit Card,81584
08-Jun-23,Accounts Receivable,Transaction 2231,552.85,552.85,Expense,Expense,Customer 33,Cash,74237
25-Jul-23,Cash,Transaction 2232,753.57,753.57,Asset,Transfer,Customer 10,Cash,97070
12-Nov-23,Inventory,Transaction 2233,348.55,348.55,Expense,Transfer,Customer 42,Credit Card,55913
22-Feb-23,Inventory,Transaction 2234,634.72,634.72,Liability,Sale,Customer 1,Bank Transfer,94387
06-Jan-23,Accounts Receivable,Transaction 2235,958.64,958.64,Expense,Purchase,Customer 83,Check,99490
09-Mar-23,Cash,Transaction 2236,659.31,659.31,Expense,Transfer,Customer 4,Check,98470
22-Oct-23,Accounts Payable,Transaction 2237,586.44,586.44,Liability,Purchase,Customer 32,Cash,78334
01-Oct-23,Cash,Transaction 2238,967.93,967.93,Asset,Expense,Customer 59,Credit Card,72464
28-Jun-23,Accounts Receivable,Transaction 2239,482.41,482.41,Asset,Sale,Customer 76,Cash,81119
01-Feb-23,Cash,Transaction 2240,931.85,931.85,Expense,Purchase,Customer 40,Cash,80308
03-Sep-23,Accounts Receivable,Transaction 2241,790.94,790.94,Liability,Sale,Customer 56,Check,40575
15-Jun-23,Cash,Transaction 2242,480.79,480.79,Liability,Transfer,Customer 2,Cash,76405
13-Feb-23,Accounts Payable,Transaction 2243,170.15,170.15,Revenue,Purchase,Customer 66,Credit Card,85711
05-May-23,Cash,Transaction 2244,824.77,824.77,Revenue,Expense,Customer 30,Cash,85273
16-Mar-23,Cash,Transaction 2245,148.05,148.05,Expense,Purchase,Customer 43,Bank Transfer,35586
18-Aug-23,Cash,Transaction 2246,920.02,920.02,Asset,Transfer,Customer 13,Bank Transfer,24549
10-Oct-23,Accounts Receivable,Transaction 2247,890.49,890.49,Asset,Transfer,Customer 4,Credit Card,94608
06-Jul-23,Accounts Payable,Transaction 2248,235.77,235.77,Asset,Sale,Customer 70,Credit Card,27641
18-Nov-23,Inventory,Transaction 2249,415.9,415.9,Expense,Sale,Customer 14,Bank Transfer,64416
15-Feb-23,Inventory,Transaction 2250,581.27,581.27,Revenue,Purchase,Customer 25,Credit Card,84590
12-Jul-23,Accounts Receivable,Transaction 2251,749.96,749.96,Liability,Purchase,Customer 69,Cash,57504
18-Jun-23,Accounts Payable,Transaction 2252,248.54,248.54,Expense,Transfer,Customer 23,Cash,83243
24-Aug-23,Cash,Transaction 2253,988.82,988.82,Expense,Sale,Customer 94,Cash,85766
24-Nov-23,Accounts Receivable,Transaction 2254,482.13,482.13,Asset,Expense,Customer 71,Bank Transfer,24999
11-Jan-23,Inventory,Transaction 2255,898.33,898.33,Asset,Purchase,Customer 25,Bank Transfer,68862
04-Feb-23,Cash,Transaction 2256,276.78,276.78,Expense,Sale,Customer 21,Bank Transfer,65290
13-Nov-23,Accounts Payable,Transaction 2257,945.5,945.5,Revenue,Transfer,Customer 35,Check,85673
25-Apr-23,Cash,Transaction 2258,972.62,972.62,Expense,Transfer,Customer 89,Bank Transfer,41797
12-Aug-23,Cash,Transaction 2259,339.2,339.2,Expense,Transfer,Customer 71,Credit Card,49910
03-Mar-23,Cash,Transaction 2260,439.16,439.16,Revenue,Sale,Customer 25,Check,47238
28-Oct-23,Accounts Receivable,Transaction 2261,35.48,35.48,Liability,Expense,Customer 80,Credit Card,17227
01-Mar-23,Accounts Receivable,Transaction 2262,960.23,960.23,Expense,Purchase,Customer 70,Bank Transfer,97248
26-Feb-23,Accounts Receivable,Transaction 2263,754.6,754.6,Expense,Transfer,Customer 12,Check,49459
12-Jul-23,Cash,Transaction 2264,544.87,544.87,Liability,Expense,Customer 12,Credit Card,45718
16-Feb-23,Accounts Receivable,Transaction 2265,482.04,482.04,Asset,Transfer,Customer 2,Cash,89027
03-Nov-23,Accounts Payable,Transaction 2266,674.39,674.39,Expense,Expense,Customer 87,Credit Card,27386
28-May-23,Cash,Transaction 2267,603.13,603.13,Asset,Sale,Customer 86,Credit Card,55734
15-May-23,Inventory,Transaction 2268,207.34,207.34,Expense,Transfer,Customer 30,Bank Transfer,10306
21-Dec-23,Accounts Payable,Transaction 2269,764.39,764.39,Revenue,Transfer,Customer 57,Credit Card,65688
01-Apr-23,Cash,Transaction 2270,569.6,569.6,Asset,Purchase,Customer 68,Cash,62378
06-Apr-23,Cash,Transaction 2271,829.53,829.53,Revenue,Transfer,Customer 65,Cash,23991
18-Sep-23,Cash,Transaction 2272,801.55,801.55,Expense,Expense,Customer 18,Credit Card,50644
12-Jul-23,Accounts Payable,Transaction 2273,925.57,925.57,Expense,Transfer,Customer 59,Check,99051
25-Sep-23,Accounts Receivable,Transaction 2274,894.33,894.33,Liability,Transfer,Customer 34,Cash,85997
18-Jun-23,Accounts Receivable,Transaction 2275,954.29,954.29,Asset,Purchase,Customer 53,Cash,60235
17-Apr-23,Accounts Receivable,Transaction 2276,917.88,917.88,Asset,Expense,Customer 66,Bank Transfer,95665
18-Jun-23,Accounts Payable,Transaction 2277,702.85,702.85,Liability,Expense,Customer 83,Check,49508
12-Dec-23,Accounts Receivable,Transaction 2278,292.04,292.04,Liability,Expense,Customer 72,Cash,62236
26-May-23,Accounts Receivable,Transaction 2279,918.83,918.83,Revenue,Purchase,Customer 28,Bank Transfer,62729
11-Aug-23,Cash,Transaction 2280,681.55,681.55,Asset,Sale,Customer 5,Cash,80500
05-Jun-23,Inventory,Transaction 2281,999.61,999.61,Expense,Expense,Customer 92,Check,77255
20-Jun-23,Accounts Payable,Transaction 2282,836.99,836.99,Revenue,Sale,Customer 95,Credit Card,13853
04-Mar-23,Cash,Transaction 2283,399.98,399.98,Liability,Purchase,Customer 31,Bank Transfer,29201
19-Jul-23,Cash,Transaction 2284,986.72,986.72,Expense,Transfer,Customer 71,Check,46720
20-Sep-23,Inventory,Transaction 2285,855.96,855.96,Asset,Purchase,Customer 89,Check,13802
08-May-23,Accounts Payable,Transaction 2286,785.9,785.9,Expense,Expense,Customer 87,Bank Transfer,33551
27-Mar-23,Accounts Receivable,Transaction 2287,381.27,381.27,Liability,Expense,Customer 15,Credit Card,29454
15-Feb-23,Cash,Transaction 2288,514,514,Expense,Sale,Customer 34,Bank Transfer,57365
10-Apr-23,Inventory,Transaction 2289,230.91,230.91,Expense,Purchase,Customer 76,Check,80382
07-Nov-23,Inventory,Transaction 2290,910.07,910.07,Expense,Transfer,Customer 94,Credit Card,66045
19-May-23,Inventory,Transaction 2291,837.15,837.15,Asset,Purchase,Customer 95,Credit Card,10108
04-Jul-23,Accounts Receivable,Transaction 2292,738.89,738.89,Expense,Sale,Customer 64,Cash,89199
24-Jan-23,Inventory,Transaction 2293,368.42,368.42,Liability,Sale,Customer 91,Bank Transfer,49367
07-Oct-23,Cash,Transaction 2294,633.56,633.56,Liability,Expense,Customer 88,Cash,75618
10-Apr-23,Inventory,Transaction 2295,166.61,166.61,Revenue,Sale,Customer 97,Cash,64426
18-Jan-23,Accounts Payable,Transaction 2296,556.43,556.43,Liability,Expense,Customer 73,Bank Transfer,10000
01-Jun-23,Cash,Transaction 2297,345.48,345.48,Liability,Transfer,Customer 35,Bank Transfer,26817
01-Oct-23,Accounts Receivable,Transaction 2298,453.48,453.48,Asset,Expense,Customer 89,Check,68404
20-Jan-23,Accounts Payable,Transaction 2299,268.18,268.18,Expense,Sale,Customer 44,Check,37614
09-Aug-23,Cash,Transaction 2300,872.76,872.76,Liability,Sale,Customer 66,Credit Card,51506
27-Sep-23,Accounts Receivable,Transaction 2301,306.8,306.8,Asset,Purchase,Customer 51,Bank Transfer,50396
15-Apr-23,Accounts Receivable,Transaction 2302,954.3,954.3,Revenue,Expense,Customer 29,Bank Transfer,37318
04-Dec-23,Cash,Transaction 2303,120.5,120.5,Revenue,Purchase,Customer 47,Bank Transfer,35063
26-Mar-23,Cash,Transaction 2304,783.45,783.45,Liability,Transfer,Customer 47,Check,91341
17-Oct-23,Inventory,Transaction 2305,834.69,834.69,Expense,Transfer,Customer 99,Bank Transfer,35871
17-Jul-23,Accounts Payable,Transaction 2306,587.41,587.41,Revenue,Transfer,Customer 85,Bank Transfer,90204
21-Apr-23,Accounts Receivable,Transaction 2307,806.29,806.29,Liability,Transfer,Customer 75,Check,47769
27-Jul-23,Accounts Payable,Transaction 2308,343.36,343.36,Asset,Purchase,Customer 20,Credit Card,86359
15-Jul-23,Accounts Payable,Transaction 2309,748.62,748.62,Revenue,Expense,Customer 52,Check,86360
08-Jul-23,Accounts Receivable,Transaction 2310,963.68,963.68,Liability,Expense,Customer 98,Check,16463
24-Oct-23,Cash,Transaction 2311,498.53,498.53,Revenue,Expense,Customer 91,Bank Transfer,45382
13-Feb-23,Accounts Receivable,Transaction 2312,821.49,821.49,Liability,Sale,Customer 34,Cash,95563
22-Dec-23,Accounts Receivable,Transaction 2313,957.99,957.99,Asset,Transfer,Customer 14,Cash,32654
23-Aug-23,Inventory,Transaction 2314,361.1,361.1,Revenue,Purchase,Customer 96,Bank Transfer,55166
21-Oct-23,Accounts Payable,Transaction 2315,306.59,306.59,Revenue,Transfer,Customer 72,Check,34232
04-Jul-23,Accounts Payable,Transaction 2316,575.89,575.89,Revenue,Sale,Customer 24,Cash,79809
26-Feb-23,Accounts Receivable,Transaction 2317,176.56,176.56,Revenue,Sale,Customer 41,Bank Transfer,68161
28-Oct-23,Accounts Payable,Transaction 2318,773.54,773.54,Liability,Expense,Customer 38,Bank Transfer,27304
14-Mar-23,Accounts Payable,Transaction 2319,997.59,997.59,Asset,Transfer,Customer 71,Bank Transfer,77637
13-Sep-23,Inventory,Transaction 2320,663.3,663.3,Expense,Transfer,Customer 57,Cash,54265
02-Mar-23,Accounts Payable,Transaction 2321,301.26,301.26,Revenue,Purchase,Customer 35,Credit Card,76104
23-Jun-23,Inventory,Transaction 2322,436.55,436.55,Asset,Purchase,Customer 26,Cash,67277
14-Feb-23,Cash,Transaction 2323,911.64,911.64,Revenue,Purchase,Customer 25,Credit Card,27898
03-Feb-23,Inventory,Transaction 2324,752.67,752.67,Liability,Transfer,Customer 9,Check,74924
01-May-23,Accounts Receivable,Transaction 2325,892.78,892.78,Revenue,Purchase,Customer 65,Bank Transfer,78832
17-Apr-23,Accounts Payable,Transaction 2326,406.44,406.44,Revenue,Sale,Customer 63,Credit Card,31234
24-Jun-23,Accounts Receivable,Transaction 2327,395.5,395.5,Revenue,Sale,Customer 28,Cash,92974
16-Mar-23,Accounts Receivable,Transaction 2328,952.61,952.61,Asset,Transfer,Customer 45,Credit Card,66756
04-Jan-23,Accounts Receivable,Transaction 2329,945.69,945.69,Asset,Transfer,Customer 94,Credit Card,67824
21-Oct-23,Accounts Payable,Transaction 2330,191.22,191.22,Asset,Purchase,Customer 33,Check,22255
18-Mar-23,Accounts Payable,Transaction 2331,528.05,528.05,Liability,Sale,Customer 16,Credit Card,43802
02-Jan-23,Inventory,Transaction 2332,813.05,813.05,Expense,Transfer,Customer 86,Cash,61309
19-Jun-23,Accounts Receivable,Transaction 2333,391.1,391.1,Liability,Sale,Customer 68,Bank Transfer,34267
01-Dec-23,Cash,Transaction 2334,574.88,574.88,Revenue,Expense,Customer 5,Cash,94536
23-Nov-23,Inventory,Transaction 2335,406.47,406.47,Liability,Expense,Customer 67,Credit Card,95029
26-Jun-23,Accounts Receivable,Transaction 2336,392.86,392.86,Revenue,Sale,Customer 97,Bank Transfer,31645
08-May-23,Inventory,Transaction 2337,824.08,824.08,Expense,Transfer,Customer 22,Cash,10636
11-Aug-23,Accounts Receivable,Transaction 2338,687.74,687.74,Revenue,Sale,Customer 54,Check,76777
19-Dec-23,Cash,Transaction 2339,155.58,155.58,Revenue,Purchase,Customer 61,Bank Transfer,78129
15-Apr-23,Cash,Transaction 2340,482.43,482.43,Expense,Sale,Customer 10,Cash,46725
23-Mar-23,Accounts Payable,Transaction 2341,261.2,261.2,Liability,Purchase,Customer 9,Cash,82201
20-Jun-23,Inventory,Transaction 2342,168.57,168.57,Liability,Transfer,Customer 67,Cash,75300
19-Nov-23,Accounts Receivable,Transaction 2343,879.47,879.47,Expense,Purchase,Customer 81,Bank Transfer,87181
04-Aug-23,Accounts Payable,Transaction 2344,166.54,166.54,Revenue,Sale,Customer 14,Cash,96192
15-Apr-23,Accounts Payable,Transaction 2345,984.52,984.52,Revenue,Expense,Customer 44,Check,19156
18-Dec-23,Cash,Transaction 2346,751.05,751.05,Expense,Transfer,Customer 14,Check,31619
22-Nov-23,Accounts Payable,Transaction 2347,947.07,947.07,Liability,Transfer,Customer 35,Bank Transfer,46659
23-Jun-23,Inventory,Transaction 2348,788.46,788.46,Expense,Sale,Customer 52,Cash,48415
24-Dec-23,Cash,Transaction 2349,832.41,832.41,Liability,Expense,Customer 40,Check,73659
26-Nov-23,Cash,Transaction 2350,976.87,976.87,Expense,Purchase,Customer 74,Credit Card,85822
27-Mar-23,Inventory,Transaction 2351,756.21,756.21,Expense,Transfer,Customer 31,Bank Transfer,30358
07-May-23,Cash,Transaction 2352,862.26,862.26,Asset,Purchase,Customer 85,Credit Card,21998
19-Feb-23,Accounts Payable,Transaction 2353,951.3,951.3,Asset,Purchase,Customer 60,Cash,50979
